epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5322.44,2.33114,4.39231,1.39694,0.55116,0.62161,0.55316,0.24816,1.5708,32.63,1.00367,0.000332709,0.000332709,0.000332709
2,10387.3,1.95408,2.05911,1.19908,0.71353,0.77168,0.76917,0.35329,1.49825,31.6912,0.9862,0.000652855,0.000652855,0.000652855
3,15440.2,1.89771,1.571,1.18535,0.75057,0.7488,0.81011,0.35211,1.54743,7.74756,0.987,0.0009598,0.0009598,0.0009598
4,20465.3,1.87833,1.39358,1.17659,0.80333,0.73704,0.82759,0.39105,1.47702,3.88332,0.96829,0.0009406,0.0009406,0.0009406
5,25493.7,1.81907,1.23645,1.15055,0.84734,0.8867,0.92653,0.45533,1.44742,5.82374,0.95252,0.0009208,0.0009208,0.0009208
6,30556.2,1.79054,1.17034,1.13075,0.93294,0.88153,0.93965,0.4785,1.37242,3.64312,0.92952,0.000901,0.000901,0.000901
7,35606.7,1.76305,1.11713,1.12009,0.91807,0.90133,0.94617,0.47437,1.3914,5.52802,0.927,0.0008812,0.0008812,0.0008812
8,40619.6,1.75465,1.07377,1.11286,0.90714,0.81148,0.90749,0.45256,1.4216,1.49443,0.93296,0.0008614,0.0008614,0.0008614
9,45626.1,1.73329,1.03534,1.10718,0.94538,0.92041,0.95697,0.49292,1.39069,1.6936,0.91618,0.0008416,0.0008416,0.0008416
10,50633.1,1.72731,1.00883,1.10218,0.95079,0.92573,0.96235,0.49742,1.38462,1.93683,0.91864,0.0008218,0.0008218,0.0008218
11,55638.8,1.71254,0.96957,1.09432,0.94735,0.93389,0.96608,0.50909,1.35107,3.23398,0.91021,0.000802,0.000802,0.000802
12,62799.1,1.69283,0.95062,1.09468,0.94332,0.9415,0.966,0.49825,1.35155,0.93385,0.90913,0.0007822,0.0007822,0.0007822
13,67705.3,1.68392,0.93328,1.082,0.95287,0.94165,0.96945,0.51663,1.33563,4.3857,0.90584,0.0007624,0.0007624,0.0007624
14,72618,1.67838,0.91357,1.08215,0.94124,0.94242,0.96948,0.50438,1.3609,6.08578,0.90848,0.0007426,0.0007426,0.0007426
15,77626.9,1.66972,0.90067,1.08185,0.96675,0.94297,0.97257,0.53024,1.29968,3.66419,0.89451,0.0007228,0.0007228,0.0007228
16,82553.7,1.66562,0.88866,1.07841,0.97414,0.93764,0.97676,0.52213,1.34032,2.87981,0.90381,0.000703,0.000703,0.000703
17,87484.6,1.64493,0.85599,1.07372,0.96649,0.95922,0.97496,0.52675,1.31026,1.35137,0.89317,0.0006832,0.0006832,0.0006832
18,92604.8,1.64049,0.84627,1.07567,0.96894,0.94236,0.97034,0.52204,1.31143,2.01295,0.89416,0.0006634,0.0006634,0.0006634
19,97836.5,1.64191,0.84509,1.06681,0.96249,0.95966,0.97637,0.53564,1.28975,0.92522,0.89213,0.0006436,0.0006436,0.0006436
20,102777,1.63241,0.82254,1.07153,0.96708,0.95342,0.97824,0.53397,1.31192,1.97781,0.89028,0.0006238,0.0006238,0.0006238
21,107712,1.62419,0.82472,1.06184,0.97257,0.95507,0.98138,0.54246,1.28778,2.30153,0.89125,0.000604,0.000604,0.000604
22,112661,1.61519,0.80828,1.0609,0.9703,0.9552,0.97858,0.53696,1.30314,0.916,0.89023,0.0005842,0.0005842,0.0005842
23,117598,1.60103,0.79673,1.05711,0.97064,0.9612,0.98303,0.55034,1.28189,0.87226,0.88303,0.0005644,0.0005644,0.0005644
24,122549,1.59119,0.79113,1.05779,0.97195,0.96269,0.98422,0.54726,1.28437,0.86611,0.88421,0.0005446,0.0005446,0.0005446
25,127465,1.58486,0.77382,1.05443,0.97277,0.96946,0.98079,0.55739,1.283,1.0495,0.88317,0.0005248,0.0005248,0.0005248
26,132381,1.57678,0.77163,1.04736,0.97404,0.97071,0.98363,0.54797,1.28852,0.71142,0.88518,0.000505,0.000505,0.000505
27,137298,1.5646,0.75986,1.04148,0.97045,0.96498,0.98209,0.55147,1.26928,0.70255,0.87709,0.0004852,0.0004852,0.0004852
28,142218,1.5531,0.74783,1.04482,0.96788,0.97095,0.98252,0.55925,1.26091,0.67132,0.87586,0.0004654,0.0004654,0.0004654
29,147134,1.54503,0.73824,1.04014,0.97925,0.96534,0.98807,0.56644,1.25115,0.66577,0.87227,0.0004456,0.0004456,0.0004456
30,152057,1.54364,0.73564,1.03769,0.96723,0.97737,0.98539,0.55885,1.27019,0.79287,0.87491,0.0004258,0.0004258,0.0004258
31,156973,1.5325,0.72787,1.03379,0.97613,0.96628,0.98576,0.56877,1.24848,1.30373,0.87181,0.000406,0.000406,0.000406
32,161895,1.53584,0.71987,1.03641,0.97293,0.97776,0.98794,0.56477,1.24192,1.1011,0.871,0.0003862,0.0003862,0.0003862
33,166808,1.51123,0.71138,1.02946,0.97864,0.96714,0.98464,0.56697,1.23641,0.69334,0.8712,0.0003664,0.0003664,0.0003664
34,171725,1.51103,0.7095,1.02667,0.97605,0.97613,0.98557,0.57105,1.24854,0.71859,0.86791,0.0003466,0.0003466,0.0003466
35,176645,1.49788,0.68971,1.02326,0.97275,0.97285,0.98606,0.57317,1.22949,0.8603,0.8664,0.0003268,0.0003268,0.0003268
36,181567,1.49327,0.69282,1.02116,0.97255,0.98149,0.98692,0.57779,1.2219,0.94898,0.86661,0.000307,0.000307,0.000307
37,186488,1.4848,0.68745,1.01805,0.97735,0.97284,0.98862,0.57683,1.2245,0.68724,0.86323,0.0002872,0.0002872,0.0002872
38,191406,1.47762,0.67736,1.01993,0.97566,0.97274,0.98748,0.57881,1.21474,0.59926,0.86031,0.0002674,0.0002674,0.0002674
39,196329,1.46021,0.66546,1.01494,0.97387,0.98016,0.98785,0.57729,1.23142,0.59702,0.86319,0.0002476,0.0002476,0.0002476
40,201253,1.46064,0.66503,1.01063,0.9745,0.98129,0.9892,0.58426,1.22173,0.52101,0.86119,0.0002278,0.0002278,0.0002278
41,206179,1.44168,0.6259,1.04671,0.97749,0.97874,0.98799,0.57344,1.22762,0.58593,0.86285,0.000208,0.000208,0.000208
42,211085,1.42848,0.61543,1.0395,0.97798,0.9809,0.98794,0.58482,1.21868,0.56224,0.8589,0.0001882,0.0001882,0.0001882
43,215995,1.4143,0.60023,1.03626,0.97876,0.97667,0.98811,0.58736,1.21386,0.53414,0.85854,0.0001684,0.0001684,0.0001684
44,220904,1.41158,0.60858,1.03453,0.97627,0.97951,0.98837,0.58516,1.22035,0.52305,0.86137,0.0001486,0.0001486,0.0001486
45,225812,1.39463,0.58566,1.03303,0.97937,0.97895,0.98848,0.58929,1.21194,0.51106,0.85792,0.0001288,0.0001288,0.0001288
46,230719,1.39289,0.59038,1.02779,0.97961,0.98093,0.9886,0.59455,1.20014,0.51607,0.85587,0.000109,0.000109,0.000109
47,235614,1.37032,0.57683,1.02573,0.97802,0.97905,0.98765,0.59285,1.20434,0.52018,0.85551,8.92e-05,8.92e-05,8.92e-05
48,240515,1.37151,0.57832,1.01921,0.98042,0.97767,0.9877,0.59758,1.19916,0.50791,0.85415,6.94e-05,6.94e-05,6.94e-05
49,245415,1.35983,0.57198,1.01947,0.98257,0.97579,0.98811,0.59674,1.19189,0.52768,0.85373,4.96e-05,4.96e-05,4.96e-05
50,250324,1.35437,0.56647,1.01793,0.98238,0.97634,0.98877,0.59769,1.19037,0.51497,0.85289,2.98e-05,2.98e-05,2.98e-05
